Company,Ticker,Year,Country,TOTAL Scope 1 Emissions OIL AND GAS (metric tons CO2e) Q7.15.4,"Revenue, THOUSANDS (TTM)",Currency
Pembina Pipeline Corporation,PBA,2024,Canada,2621096.18,"8,005,000",CAD
Pemex - Petroleos Mexicanos,-,2024,Mexico,42319313.86,N/A,N/A
Petro Rio SA,-,2024,Brasil,654964.962,N/A,N/A
Petroliam Nasional Berhad (PETRONAS),-,2024,Malayisa,48500000,N/A,N/A
Petroreconcavo SA,-,2024,Brazil ,227622.03,N/A,N/A
Petróleo Brasileiro SA - Petrobras,PBR,2024,Brazil ,44407045.64,"88,721,000",USD
Pharos Energy plc,PHAR.L,2024,UK,229915,"136,000",USD
Promigas SA e SP,-,2024,Columbia,161977,N/A,N/A
Repsol,REP.MC,2024,Spain,13770119,"56,344,000",EUR
SK Innovation Co Ltd,096770.KS,2024,Korea,9277080.07,"77,008,382,906",KRW
Saras SpA,-,2024,Italy,5603437,N/A,N/A
Sasol Limited,SSL,2024,South Africa,455000,"275,111,000",ZAR
Secure Energy Services Inc,-,2024,Canada (CAD),83687.53,N/A,N/A
Serica Energy,SQZ.L,2024,UK,179456.54,"727,178",USD
Shearwater GeoServices,-,2024,Norway,343870.7,N/A,N/A
Shelf Drilling Ltd,SHLF.OL,2024,UAE,292781,"976,200",USD
Southern Gas Networks Plc,-,2024,Canada (CAD),7136,N/A,N/A
TC Energy,TRP,2024,USA,15075946.32,"13,885,000",CAD
Talos Energy,TALO,2024,China,468877,"2,056,695",USD
"The Williams Companies, Inc.",WMB,2024,USA,10324930.68,"10,780,000",USD
TotalEnergies SE,TTE,2024,France,31000000,"191,626,000",USD
TÜPRAŞ-TÜRKİYE PETROL RAFİNERİLERİ A.Ş.,-,2024,Turkey,6169579,N/A,N/A
Vår Energi ASA,-,2024,Norway,182627,N/A,N/A
Zhejiang Jiahua Chemical Co.Ltd.,-,2024,China,50,N/A,N/A
